Web Search Interest
Italy; 2004 - present

Interest over time
Week,Software
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-9%
2004-01-18 - 2004-01-24,-9%
2004-01-25 - 2004-01-31,-9%
2004-02-01 - 2004-02-07,-9%
2004-02-08 - 2004-02-14,-10%
2004-02-15 - 2004-02-21,-11%
2004-02-22 - 2004-02-28,-8%
2004-02-29 - 2004-03-06,-9%
2004-03-07 - 2004-03-13,-6%
2004-03-14 - 2004-03-20,-13%
2004-03-21 - 2004-03-27,-8%
2004-03-28 - 2004-04-03,-19%
2004-04-04 - 2004-04-10,-14%
2004-04-11 - 2004-04-17,-12%
2004-04-18 - 2004-04-24,-18%
2004-04-25 - 2004-05-01,-18%
2004-05-02 - 2004-05-08,-14%
2004-05-09 - 2004-05-15,-21%
2004-05-16 - 2004-05-22,-23%
2004-05-23 - 2004-05-29,-24%
2004-05-30 - 2004-06-05,-22%
2004-06-06 - 2004-06-12,-27%
2004-06-13 - 2004-06-19,-29%
2004-06-20 - 2004-06-26,-22%
2004-06-27 - 2004-07-03,-24%
2004-07-04 - 2004-07-10,-28%
2004-07-11 - 2004-07-17,-23%
2004-07-18 - 2004-07-24,-25%
2004-07-25 - 2004-07-31,-24%
2004-08-01 - 2004-08-07,-23%
2004-08-08 - 2004-08-14,-20%
2004-08-15 - 2004-08-21,-19%
2004-08-22 - 2004-08-28,-23%
2004-08-29 - 2004-09-04,-23%
2004-09-05 - 2004-09-11,-24%
2004-09-12 - 2004-09-18,-20%
2004-09-19 - 2004-09-25,-19%
2004-09-26 - 2004-10-02,-16%
2004-10-03 - 2004-10-09,-17%
2004-10-10 - 2004-10-16,-14%
2004-10-17 - 2004-10-23,-15%
2004-10-24 - 2004-10-30,-16%
2004-10-31 - 2004-11-06,-12%
2004-11-07 - 2004-11-13,-13%
2004-11-14 - 2004-11-20,-16%
2004-11-21 - 2004-11-27,-16%
2004-11-28 - 2004-12-04,-19%
2004-12-05 - 2004-12-11,-13%
2004-12-12 - 2004-12-18,-18%
2004-12-19 - 2004-12-25,-11%
2004-12-26 - 2005-01-01,-5%
2005-01-02 - 2005-01-08,-10%
2005-01-09 - 2005-01-15,-17%
2005-01-16 - 2005-01-22,-19%
2005-01-23 - 2005-01-29,-18%
2005-01-30 - 2005-02-05,-22%
2005-02-06 - 2005-02-12,-21%
2005-02-13 - 2005-02-19,-22%
2005-02-20 - 2005-02-26,-19%
2005-02-27 - 2005-03-05,-22%
2005-03-06 - 2005-03-12,-25%
2005-03-13 - 2005-03-19,-27%
2005-03-20 - 2005-03-26,-26%
2005-03-27 - 2005-04-02,-26%
2005-04-03 - 2005-04-09,-29%
2005-04-10 - 2005-04-16,-29%
2005-04-17 - 2005-04-23,-31%
2005-04-24 - 2005-04-30,-28%
2005-05-01 - 2005-05-07,-29%
2005-05-08 - 2005-05-14,-32%
2005-05-15 - 2005-05-21,-31%
2005-05-22 - 2005-05-28,-33%
2005-05-29 - 2005-06-04,-33%
2005-06-05 - 2005-06-11,-35%
2005-06-12 - 2005-06-18,-33%
2005-06-19 - 2005-06-25,-39%
2005-06-26 - 2005-07-02,-36%
2005-07-03 - 2005-07-09,-36%
2005-07-10 - 2005-07-16,-35%
2005-07-17 - 2005-07-23,-37%
2005-07-24 - 2005-07-30,-36%
2005-07-31 - 2005-08-06,-35%
2005-08-07 - 2005-08-13,-30%
