Web Search Interest
Spain; 2004 - present

Interest over time
Week,Online Games
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-21%
2004-01-18 - 2004-01-24,-12%
2004-01-25 - 2004-01-31,-17%
2004-02-01 - 2004-02-07,-17%
2004-02-08 - 2004-02-14,-12%
2004-02-15 - 2004-02-21,-17%
2004-02-22 - 2004-02-28,-17%
2004-02-29 - 2004-03-06,-17%
2004-03-07 - 2004-03-13,-17%
2004-03-14 - 2004-03-20,-12%
2004-03-21 - 2004-03-27,+8%
2004-03-28 - 2004-04-03,-8%
2004-04-04 - 2004-04-10,+8%
2004-04-11 - 2004-04-17,-4%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,-17%
2004-05-02 - 2004-05-08,-8%
2004-05-09 - 2004-05-15,-8%
2004-05-16 - 2004-05-22,-8%
2004-05-23 - 2004-05-29,-8%
2004-05-30 - 2004-06-05,-4%
2004-06-06 - 2004-06-12,-4%
2004-06-13 - 2004-06-19,-8%
2004-06-20 - 2004-06-26,-8%
2004-06-27 - 2004-07-03,-4%
2004-07-04 - 2004-07-10,-8%
2004-07-11 - 2004-07-17,-12%
2004-07-18 - 2004-07-24,-8%
2004-07-25 - 2004-07-31,-4%
2004-08-01 - 2004-08-07,+0%
2004-08-08 - 2004-08-14,+13%
2004-08-15 - 2004-08-21,+38%
2004-08-22 - 2004-08-28,+8%
2004-08-29 - 2004-09-04,+0%
2004-09-05 - 2004-09-11,-4%
2004-09-12 - 2004-09-18,-4%
2004-09-19 - 2004-09-25,-4%
2004-09-26 - 2004-10-02,-12%
2004-10-03 - 2004-10-09,-8%
2004-10-10 - 2004-10-16,+0%
2004-10-17 - 2004-10-23,+0%
2004-10-24 - 2004-10-30,-4%
2004-10-31 - 2004-11-06,-4%
2004-11-07 - 2004-11-13,+13%
2004-11-14 - 2004-11-20,+4%
2004-11-21 - 2004-11-27,+4%
2004-11-28 - 2004-12-04,+4%
2004-12-05 - 2004-12-11,+29%
2004-12-12 - 2004-12-18,+17%
2004-12-19 - 2004-12-25,+21%
2004-12-26 - 2005-01-01,+33%
2005-01-02 - 2005-01-08,+29%
2005-01-09 - 2005-01-15,+8%
2005-01-16 - 2005-01-22,+17%
2005-01-23 - 2005-01-29,+21%
2005-01-30 - 2005-02-05,+29%
2005-02-06 - 2005-02-12,+38%
2005-02-13 - 2005-02-19,+46%
2005-02-20 - 2005-02-26,+38%
2005-02-27 - 2005-03-05,+42%
2005-03-06 - 2005-03-12,+33%
2005-03-13 - 2005-03-19,+42%
2005-03-20 - 2005-03-26,+75%
2005-03-27 - 2005-04-02,+58%
2005-04-03 - 2005-04-09,+50%
2005-04-10 - 2005-04-16,+38%
2005-04-17 - 2005-04-23,+54%
2005-04-24 - 2005-04-30,+46%
2005-05-01 - 2005-05-07,+54%
2005-05-08 - 2005-05-14,+46%
2005-05-15 - 2005-05-21,+38%
2005-05-22 - 2005-05-28,+33%
2005-05-29 - 2005-06-04,+42%
2005-06-05 - 2005-06-11,+54%
2005-06-12 - 2005-06-18,+54%
2005-06-19 - 2005-06-25,+54%
2005-06-26 - 2005-07-02,+50%
2005-07-03 - 2005-07-09,+42%
2005-07-10 - 2005-07-16,+46%
2005-07-17 - 2005-07-23,+38%
2005-07-24 - 2005-07-30,+50%
2005-07-31 - 2005-08-06,+58%
2005-08-07 - 2005-08-13,+75%
2005-08-14 - 2005-08-20,+83%
2005-08-21 - 2005-08-27,+71%
2005-08-28 - 2005-09-03,+54%
2005-09-04 - 2005-09-10,+50%
2005-09-11 - 2005-09-17,+58%
2005-09-18 - 2005-09-24,+42%
2005-09-25 - 2005-10-01,+38%
2005-10-02 - 2005-10-08,+33%
2005-10-09 - 2005-10-15,+50%
2005-10-16 - 2005-10-22,+33%
2005-10-23 - 2005-10-29,+38%
2005-10-30 - 2005-11-05,+54%
2005-11-06 - 2005-11-12,+33%
2005-11-13 - 2005-11-19,+42%
2005-11-20 - 2005-11-26,+33%
2005-11-27 - 2005-12-03,+42%
2005-12-04 - 2005-12-10,+67%
2005-12-11 - 2005-12-17,+46%
2005-12-18 - 2005-12-24,+58%
2005-12-25 - 2005-12-31,+67%
2006-01-01 - 2006-01-07,+71%
2006-01-08 - 2006-01-14,+42%
2006-01-15 - 2006-01-21,+38%
2006-01-22 - 2006-01-28,+33%
2006-01-29 - 2006-02-04,+42%
2006-02-05 - 2006-02-11,+46%
2006-02-12 - 2006-02-18,+54%
2006-02-19 - 2006-02-25,+58%
2006-02-26 - 2006-03-04,+63%
2006-03-05 - 2006-03-11,+54%
2006-03-12 - 2006-03-18,+54%
2006-03-19 - 2006-03-25,+63%
2006-03-26 - 2006-04-01,+79%
2006-04-02 - 2006-04-08,+67%
2006-04-09 - 2006-04-15,+96%
2006-04-16 - 2006-04-22,+67%
2006-04-23 - 2006-04-29,+63%
2006-04-30 - 2006-05-06,+71%
2006-05-07 - 2006-05-13,+58%
2006-05-14 - 2006-05-20,+63%
2006-05-21 - 2006-05-27,+54%
2006-05-28 - 2006-06-03,+63%
2006-06-04 - 2006-06-10,+58%
2006-06-11 - 2006-06-17,+58%
2006-06-18 - 2006-06-24,+75%
2006-06-25 - 2006-07-01,+75%
2006-07-02 - 2006-07-08,+79%
2006-07-09 - 2006-07-15,+71%
2006-07-16 - 2006-07-22,+79%
2006-07-23 - 2006-07-29,+83%
2006-07-30 - 2006-08-05,+96%
2006-08-06 - 2006-08-12,+92%
2006-08-13 - 2006-08-19,+117%
2006-08-20 - 2006-08-26,+104%
2006-08-27 - 2006-09-02,+96%
2006-09-03 - 2006-09-09,+104%
2006-09-10 - 2006-09-16,+92%
2006-09-17 - 2006-09-23,+83%
2006-09-24 - 2006-09-30,+75%
2006-10-01 - 2006-10-07,+83%
2006-10-08 - 2006-10-14,+108%
2006-10-15 - 2006-10-21,+83%
2006-10-22 - 2006-10-28,+75%
2006-10-29 - 2006-11-04,+92%
2006-11-05 - 2006-11-11,+88%
2006-11-12 - 2006-11-18,+88%
2006-11-19 - 2006-11-25,+83%
2006-11-26 - 2006-12-02,+75%
2006-12-03 - 2006-12-09,+129%
2006-12-10 - 2006-12-16,+83%
2006-12-17 - 2006-12-23,+92%
2006-12-24 - 2006-12-30,+125%
2006-12-31 - 2007-01-06,+125%
2007-01-07 - 2007-01-13,+96%
2007-01-14 - 2007-01-20,+104%
2007-01-21 - 2007-01-27,+100%
2007-01-28 - 2007-02-03,+96%
2007-02-04 - 2007-02-10,+92%
2007-02-11 - 2007-02-17,+92%
2007-02-18 - 2007-02-24,+104%
2007-02-25 - 2007-03-03,+88%
2007-03-04 - 2007-03-10,+83%
2007-03-11 - 2007-03-17,+83%
2007-03-18 - 2007-03-24,+92%
2007-03-25 - 2007-03-31,+96%
2007-04-01 - 2007-04-07,+133%
2007-04-08 - 2007-04-14,+113%
2007-04-15 - 2007-04-21,+100%
2007-04-22 - 2007-04-28,+108%
2007-04-29 - 2007-05-05,+121%
2007-05-06 - 2007-05-12,+96%
2007-05-13 - 2007-05-19,+100%
2007-05-20 - 2007-05-26,+104%
2007-05-27 - 2007-06-02,+104%
2007-06-03 - 2007-06-09,+108%
2007-06-10 - 2007-06-16,+113%
2007-06-17 - 2007-06-23,+121%
2007-06-24 - 2007-06-30,+125%
2007-07-01 - 2007-07-07,+129%
2007-07-08 - 2007-07-14,+125%
2007-07-15 - 2007-07-21,+138%
2007-07-22 - 2007-07-28,+117%
2007-07-29 - 2007-08-04,+121%
2007-08-05 - 2007-08-11,+129%
2007-08-12 - 2007-08-18,+142%
2007-08-19 - 2007-08-25,+133%
2007-08-26 - 2007-09-01,+133%
2007-09-02 - 2007-09-08,+104%
2007-09-09 - 2007-09-15,+113%
2007-09-16 - 2007-09-22,+88%
2007-09-23 - 2007-09-29,+88%
2007-09-30 - 2007-10-06,+83%
2007-10-07 - 2007-10-13,+96%
2007-10-14 - 2007-10-20,+79%
2007-10-21 - 2007-10-27,+88%
2007-10-28 - 2007-11-03,+133%
2007-11-04 - 2007-11-10,+96%
2007-11-11 - 2007-11-17,+104%
2007-11-18 - 2007-11-24,+125%
2007-11-25 - 2007-12-01,+125%
2007-12-02 - 2007-12-08,+171%
2007-12-09 - 2007-12-15,+146%
2007-12-16 - 2007-12-22,+158%
2007-12-23 - 2007-12-29,+196%
2007-12-30 - 2008-01-05,+188%
2008-01-06 - 2008-01-12,+125%
2008-01-13 - 2008-01-19,+133%
2008-01-20 - 2008-01-26,+138%
2008-01-27 - 2008-02-02,+146%
2008-02-03 - 2008-02-09,+146%
2008-02-10 - 2008-02-16,+133%
2008-02-17 - 2008-02-23,+129%
2008-02-24 - 2008-03-01,+146%
2008-03-02 - 2008-03-08,+138%
2008-03-09 - 2008-03-15,+142%
2008-03-16 - 2008-03-22,+200%
2008-03-23 - 2008-03-29,+179%
2008-03-30 - 2008-04-05,+154%
2008-04-06 - 2008-04-12,+154%
2008-04-13 - 2008-04-19,+163%
2008-04-20 - 2008-04-26,+158%
2008-04-27 - 2008-05-03,+183%
2008-05-04 - 2008-05-10,+163%
2008-05-11 - 2008-05-17,+175%
2008-05-18 - 2008-05-24,+183%
2008-05-25 - 2008-05-31,+171%
2008-06-01 - 2008-06-07,+179%
2008-06-08 - 2008-06-14,+188%
2008-06-15 - 2008-06-21,+204%
2008-06-22 - 2008-06-28,+217%
2008-06-29 - 2008-07-05,+225%
2008-07-06 - 2008-07-12,+229%
2008-07-13 - 2008-07-19,+229%
2008-07-20 - 2008-07-26,+233%
2008-07-27 - 2008-08-02,+238%
2008-08-03 - 2008-08-09,+250%
2008-08-10 - 2008-08-16,+275%
2008-08-17 - 2008-08-23,+242%
2008-08-24 - 2008-08-30,+242%
2008-08-31 - 2008-09-06,+213%
2008-09-07 - 2008-09-13,+229%
2008-09-14 - 2008-09-20,+208%
2008-09-21 - 2008-09-27,+196%
2008-09-28 - 2008-10-04,+200%
2008-10-05 - 2008-10-11,+204%
2008-10-12 - 2008-10-18,+221%
2008-10-19 - 2008-10-25,+200%
2008-10-26 - 2008-11-01,+192%
2008-11-02 - 2008-11-08,+196%
2008-11-09 - 2008-11-15,+213%
2008-11-16 - 2008-11-22,+204%
2008-11-23 - 2008-11-29,+192%
2008-11-30 - 2008-12-06,+204%
2008-12-07 - 2008-12-13,+233%
2008-12-14 - 2008-12-20,+242%
2008-12-21 - 2008-12-27,+283%
2008-12-28 - 2009-01-03,+296%
2009-01-04 - 2009-01-10,+233%
2009-01-11 - 2009-01-17,+200%
2009-01-18 - 2009-01-24,+217%
2009-01-25 - 2009-01-31,+213%
2009-02-01 - 2009-02-07,+196%
2009-02-08 - 2009-02-14,+200%
2009-02-15 - 2009-02-21,+213%
2009-02-22 - 2009-02-28,+225%
2009-03-01 - 2009-03-07,+200%
2009-03-08 - 2009-03-14,+196%
2009-03-15 - 2009-03-21,+213%
2009-03-22 - 2009-03-28,+188%
2009-03-29 - 2009-04-04,+204%
2009-04-05 - 2009-04-11,+267%
2009-04-12 - 2009-04-18,+238%
2009-04-19 - 2009-04-25,+217%
2009-04-26 - 2009-05-02,+229%
2009-05-03 - 2009-05-09,+200%
2009-05-10 - 2009-05-16,+200%
2009-05-17 - 2009-05-23,+204%
2009-05-24 - 2009-05-30,+196%
2009-05-31 - 2009-06-06,+208%
2009-06-07 - 2009-06-13,+225%
2009-06-14 - 2009-06-20,+217%
2009-06-21 - 2009-06-27,+238%
2009-06-28 - 2009-07-04,+233%
2009-07-05 - 2009-07-11,+254%
2009-07-12 - 2009-07-18,+242%
2009-07-19 - 2009-07-25,+263%
2009-07-26 - 2009-08-01,+271%
2009-08-02 - 2009-08-08,+279%
2009-08-09 - 2009-08-15,+300%
2009-08-16 - 2009-08-22,+317%
2009-08-23 - 2009-08-29,+283%
2009-08-30 - 2009-09-05,+254%
2009-09-06 - 2009-09-12,+254%
2009-09-13 - 2009-09-19,+233%
2009-09-20 - 2009-09-26,+208%
2009-09-27 - 2009-10-03,+179%
2009-10-04 - 2009-10-10,+188%
2009-10-11 - 2009-10-17,+208%
2009-10-18 - 2009-10-24,+179%
2009-10-25 - 2009-10-31,+175%
2009-11-01 - 2009-11-07,+179%
