Web Search Interest
Italy; 2004 - present

Interest over time
Week,Insurance
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+2%
2004-01-18 - 2004-01-24,+1%
2004-01-25 - 2004-01-31,-5%
2004-02-01 - 2004-02-07,-3%
2004-02-08 - 2004-02-14,-5%
2004-02-15 - 2004-02-21,-13%
2004-02-22 - 2004-02-28,-13%
2004-02-29 - 2004-03-06,-4%
2004-03-07 - 2004-03-13,-11%
2004-03-14 - 2004-03-20,-2%
2004-03-21 - 2004-03-27,-7%
2004-03-28 - 2004-04-03,+3%
2004-04-04 - 2004-04-10,-1%
2004-04-11 - 2004-04-17,-6%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,+0%
2004-05-02 - 2004-05-08,-9%
2004-05-09 - 2004-05-15,-15%
2004-05-16 - 2004-05-22,-9%
2004-05-23 - 2004-05-29,-13%
2004-05-30 - 2004-06-05,-17%
2004-06-06 - 2004-06-12,-10%
2004-06-13 - 2004-06-19,-13%
2004-06-20 - 2004-06-26,-9%
2004-06-27 - 2004-07-03,-2%
2004-07-04 - 2004-07-10,-6%
2004-07-11 - 2004-07-17,-3%
2004-07-18 - 2004-07-24,-2%
2004-07-25 - 2004-07-31,+0%
2004-08-01 - 2004-08-07,-15%
2004-08-08 - 2004-08-14,-26%
2004-08-15 - 2004-08-21,-38%
2004-08-22 - 2004-08-28,-22%
2004-08-29 - 2004-09-04,-17%
2004-09-05 - 2004-09-11,-5%
2004-09-12 - 2004-09-18,-10%
2004-09-19 - 2004-09-25,-6%
2004-09-26 - 2004-10-02,-3%
2004-10-03 - 2004-10-09,-4%
2004-10-10 - 2004-10-16,-12%
2004-10-17 - 2004-10-23,-15%
2004-10-24 - 2004-10-30,-14%
2004-10-31 - 2004-11-06,-17%
2004-11-07 - 2004-11-13,-18%
2004-11-14 - 2004-11-20,-15%
2004-11-21 - 2004-11-27,-17%
2004-11-28 - 2004-12-04,-11%
2004-12-05 - 2004-12-11,-23%
2004-12-12 - 2004-12-18,-20%
2004-12-19 - 2004-12-25,-28%
2004-12-26 - 2005-01-01,-29%
2005-01-02 - 2005-01-08,-17%
2005-01-09 - 2005-01-15,-3%
2005-01-16 - 2005-01-22,-5%
2005-01-23 - 2005-01-29,+6%
2005-01-30 - 2005-02-05,+3%
2005-02-06 - 2005-02-12,-9%
2005-02-13 - 2005-02-19,-9%
2005-02-20 - 2005-02-26,-11%
2005-02-27 - 2005-03-05,-13%
2005-03-06 - 2005-03-12,-12%
2005-03-13 - 2005-03-19,-9%
2005-03-20 - 2005-03-26,-12%
2005-03-27 - 2005-04-02,-16%
2005-04-03 - 2005-04-09,-19%
2005-04-10 - 2005-04-16,-9%
2005-04-17 - 2005-04-23,-14%
2005-04-24 - 2005-04-30,-15%
2005-05-01 - 2005-05-07,-6%
2005-05-08 - 2005-05-14,-6%
2005-05-15 - 2005-05-21,-10%
2005-05-22 - 2005-05-28,-2%
2005-05-29 - 2005-06-04,-11%
2005-06-05 - 2005-06-11,+0%
2005-06-12 - 2005-06-18,-4%
2005-06-19 - 2005-06-25,-11%
2005-06-26 - 2005-07-02,-4%
2005-07-03 - 2005-07-09,-6%
