Web Search Interest
France; 2004 - present

Interest over time
Week,Software
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-4%
2004-01-18 - 2004-01-24,-5%
2004-01-25 - 2004-01-31,-8%
2004-02-01 - 2004-02-07,-6%
2004-02-08 - 2004-02-14,-5%
2004-02-15 - 2004-02-21,-7%
2004-02-22 - 2004-02-28,-5%
2004-02-29 - 2004-03-06,-7%
2004-03-07 - 2004-03-13,-7%
2004-03-14 - 2004-03-20,-11%
2004-03-21 - 2004-03-27,-6%
2004-03-28 - 2004-04-03,-14%
2004-04-04 - 2004-04-10,-10%
2004-04-11 - 2004-04-17,-10%
2004-04-18 - 2004-04-24,-14%
2004-04-25 - 2004-05-01,-16%
2004-05-02 - 2004-05-08,-9%
2004-05-09 - 2004-05-15,-17%
2004-05-16 - 2004-05-22,-16%
2004-05-23 - 2004-05-29,-19%
2004-05-30 - 2004-06-05,-17%
2004-06-06 - 2004-06-12,-19%
2004-06-13 - 2004-06-19,-22%
2004-06-20 - 2004-06-26,-21%
2004-06-27 - 2004-07-03,-18%
2004-07-04 - 2004-07-10,-19%
2004-07-11 - 2004-07-17,-15%
2004-07-18 - 2004-07-24,-17%
2004-07-25 - 2004-07-31,-16%
2004-08-01 - 2004-08-07,-15%
2004-08-08 - 2004-08-14,-15%
2004-08-15 - 2004-08-21,-13%
2004-08-22 - 2004-08-28,-16%
2004-08-29 - 2004-09-04,-15%
2004-09-05 - 2004-09-11,-17%
2004-09-12 - 2004-09-18,-15%
2004-09-19 - 2004-09-25,-15%
2004-09-26 - 2004-10-02,-16%
2004-10-03 - 2004-10-09,-17%
2004-10-10 - 2004-10-16,-15%
2004-10-17 - 2004-10-23,-17%
2004-10-24 - 2004-10-30,-13%
2004-10-31 - 2004-11-06,-15%
2004-11-07 - 2004-11-13,-11%
2004-11-14 - 2004-11-20,-18%
2004-11-21 - 2004-11-27,-21%
2004-11-28 - 2004-12-04,-20%
2004-12-05 - 2004-12-11,-18%
2004-12-12 - 2004-12-18,-18%
2004-12-19 - 2004-12-25,-10%
2004-12-26 - 2005-01-01,-9%
2005-01-02 - 2005-01-08,-20%
2005-01-09 - 2005-01-15,-21%
2005-01-16 - 2005-01-22,-22%
2005-01-23 - 2005-01-29,-23%
2005-01-30 - 2005-02-05,-22%
2005-02-06 - 2005-02-12,-23%
2005-02-13 - 2005-02-19,-22%
2005-02-20 - 2005-02-26,-21%
2005-02-27 - 2005-03-05,-27%
2005-03-06 - 2005-03-12,-28%
2005-03-13 - 2005-03-19,-30%
2005-03-20 - 2005-03-26,-32%
2005-03-27 - 2005-04-02,-29%
2005-04-03 - 2005-04-09,-29%
2005-04-10 - 2005-04-16,-32%
2005-04-17 - 2005-04-23,-29%
2005-04-24 - 2005-04-30,-29%
2005-05-01 - 2005-05-07,-30%
2005-05-08 - 2005-05-14,-31%
2005-05-15 - 2005-05-21,-32%
2005-05-22 - 2005-05-28,-34%
2005-05-29 - 2005-06-04,-38%
2005-06-05 - 2005-06-11,-35%
2005-06-12 - 2005-06-18,-34%
2005-06-19 - 2005-06-25,-37%
2005-06-26 - 2005-07-02,-38%
2005-07-03 - 2005-07-09,-38%
2005-07-10 - 2005-07-16,-37%
2005-07-17 - 2005-07-23,-37%
2005-07-24 - 2005-07-30,-34%
2005-07-31 - 2005-08-06,-35%
2005-08-07 - 2005-08-13,-30%
2005-08-14 - 2005-08-20,-31%
2005-08-21 - 2005-08-27,-32%
2005-08-28 - 2005-09-03,-35%
2005-09-04 - 2005-09-10,-35%
2005-09-11 - 2005-09-17,-35%
2005-09-18 - 2005-09-24,-34%
2005-09-25 - 2005-10-01,-35%
2005-10-02 - 2005-10-08,-33%
2005-10-09 - 2005-10-15,-34%
2005-10-16 - 2005-10-22,-33%
2005-10-23 - 2005-10-29,-32%
2005-10-30 - 2005-11-05,-32%
2005-11-06 - 2005-11-12,-32%
2005-11-13 - 2005-11-19,-36%
2005-11-20 - 2005-11-26,-37%
2005-11-27 - 2005-12-03,-35%
2005-12-04 - 2005-12-10,-36%
2005-12-11 - 2005-12-17,-36%
2005-12-18 - 2005-12-24,-31%
2005-12-25 - 2005-12-31,-25%
2006-01-01 - 2006-01-07,-35%
2006-01-08 - 2006-01-14,-36%
2006-01-15 - 2006-01-21,-37%
2006-01-22 - 2006-01-28,-39%
2006-01-29 - 2006-02-04,-39%
2006-02-05 - 2006-02-11,-39%
2006-02-12 - 2006-02-18,-37%
2006-02-19 - 2006-02-25,-37%
2006-02-26 - 2006-03-04,-38%
2006-03-05 - 2006-03-11,-39%
2006-03-12 - 2006-03-18,-42%
2006-03-19 - 2006-03-25,-41%
2006-03-26 - 2006-04-01,-43%
2006-04-02 - 2006-04-08,-44%
2006-04-09 - 2006-04-15,-44%
2006-04-16 - 2006-04-22,-42%
2006-04-23 - 2006-04-29,-47%
2006-04-30 - 2006-05-06,-46%
2006-05-07 - 2006-05-13,-46%
2006-05-14 - 2006-05-20,-47%
2006-05-21 - 2006-05-27,-46%
2006-05-28 - 2006-06-03,-47%
2006-06-04 - 2006-06-10,-46%
2006-06-11 - 2006-06-17,-49%
2006-06-18 - 2006-06-24,-49%
2006-06-25 - 2006-07-01,-48%
2006-07-02 - 2006-07-08,-50%
2006-07-09 - 2006-07-15,-48%
2006-07-16 - 2006-07-22,-48%
2006-07-23 - 2006-07-29,-47%
2006-07-30 - 2006-08-05,-44%
2006-08-06 - 2006-08-12,-43%
2006-08-13 - 2006-08-19,-40%
2006-08-20 - 2006-08-26,-41%
2006-08-27 - 2006-09-02,-41%
2006-09-03 - 2006-09-09,-43%
2006-09-10 - 2006-09-16,-43%
2006-09-17 - 2006-09-23,-42%
2006-09-24 - 2006-09-30,-42%
2006-10-01 - 2006-10-07,-43%
2006-10-08 - 2006-10-14,-42%
2006-10-15 - 2006-10-21,-43%
2006-10-22 - 2006-10-28,-39%
2006-10-29 - 2006-11-04,-37%
2006-11-05 - 2006-11-11,-42%
2006-11-12 - 2006-11-18,-42%
2006-11-19 - 2006-11-25,-39%
2006-11-26 - 2006-12-02,-41%
2006-12-03 - 2006-12-09,-43%
2006-12-10 - 2006-12-16,-44%
2006-12-17 - 2006-12-23,-42%
2006-12-24 - 2006-12-30,-34%
2006-12-31 - 2007-01-06,-40%
2007-01-07 - 2007-01-13,-43%
2007-01-14 - 2007-01-20,-43%
2007-01-21 - 2007-01-27,-44%
2007-01-28 - 2007-02-03,-39%
2007-02-04 - 2007-02-10,-40%
2007-02-11 - 2007-02-17,-43%
2007-02-18 - 2007-02-24,-43%
2007-02-25 - 2007-03-03,-44%
2007-03-04 - 2007-03-10,-45%
2007-03-11 - 2007-03-17,-47%
2007-03-18 - 2007-03-24,-48%
2007-03-25 - 2007-03-31,-48%
2007-04-01 - 2007-04-07,-47%
2007-04-08 - 2007-04-14,-49%
2007-04-15 - 2007-04-21,-50%
2007-04-22 - 2007-04-28,-53%
2007-04-29 - 2007-05-05,-53%
2007-05-06 - 2007-05-12,-52%
2007-05-13 - 2007-05-19,-52%
2007-05-20 - 2007-05-26,-51%
2007-05-27 - 2007-06-02,-49%
2007-06-03 - 2007-06-09,-52%
2007-06-10 - 2007-06-16,-52%
2007-06-17 - 2007-06-23,-52%
2007-06-24 - 2007-06-30,-53%
2007-07-01 - 2007-07-07,-53%
2007-07-08 - 2007-07-14,-53%
2007-07-15 - 2007-07-21,-52%
2007-07-22 - 2007-07-28,-54%
2007-07-29 - 2007-08-04,-52%
2007-08-05 - 2007-08-11,-52%
2007-08-12 - 2007-08-18,-51%
2007-08-19 - 2007-08-25,-48%
2007-08-26 - 2007-09-01,-49%
2007-09-02 - 2007-09-08,-52%
2007-09-09 - 2007-09-15,-51%
2007-09-16 - 2007-09-22,-50%
2007-09-23 - 2007-09-29,-50%
2007-09-30 - 2007-10-06,-50%
2007-10-07 - 2007-10-13,-49%
2007-10-14 - 2007-10-20,-50%
2007-10-21 - 2007-10-27,-50%
2007-10-28 - 2007-11-03,-48%
2007-11-04 - 2007-11-10,-51%
2007-11-11 - 2007-11-17,-51%
2007-11-18 - 2007-11-24,-51%
2007-11-25 - 2007-12-01,-51%
2007-12-02 - 2007-12-08,-51%
2007-12-09 - 2007-12-15,-51%
2007-12-16 - 2007-12-22,-54%
2007-12-23 - 2007-12-29,-45%
2007-12-30 - 2008-01-05,-51%
2008-01-06 - 2008-01-12,-53%
2008-01-13 - 2008-01-19,-52%
2008-01-20 - 2008-01-26,-53%
2008-01-27 - 2008-02-02,-53%
2008-02-03 - 2008-02-09,-54%
2008-02-10 - 2008-02-16,-54%
2008-02-17 - 2008-02-23,-54%
2008-02-24 - 2008-03-01,-53%
2008-03-02 - 2008-03-08,-54%
2008-03-09 - 2008-03-15,-56%
2008-03-16 - 2008-03-22,-54%
2008-03-23 - 2008-03-29,-53%
2008-03-30 - 2008-04-05,-55%
2008-04-06 - 2008-04-12,-55%
2008-04-13 - 2008-04-19,-54%
2008-04-20 - 2008-04-26,-55%
2008-04-27 - 2008-05-03,-57%
2008-05-04 - 2008-05-10,-58%
2008-05-11 - 2008-05-17,-58%
2008-05-18 - 2008-05-24,-57%
2008-05-25 - 2008-05-31,-58%
2008-06-01 - 2008-06-07,-57%
2008-06-08 - 2008-06-14,-60%
2008-06-15 - 2008-06-21,-56%
2008-06-22 - 2008-06-28,-59%
2008-06-29 - 2008-07-05,-60%
2008-07-06 - 2008-07-12,-60%
2008-07-13 - 2008-07-19,-57%
2008-07-20 - 2008-07-26,-58%
2008-07-27 - 2008-08-02,-58%
2008-08-03 - 2008-08-09,-57%
2008-08-10 - 2008-08-16,-57%
2008-08-17 - 2008-08-23,-56%
2008-08-24 - 2008-08-30,-57%
2008-08-31 - 2008-09-06,-52%
2008-09-07 - 2008-09-13,-54%
2008-09-14 - 2008-09-20,-55%
2008-09-21 - 2008-09-27,-55%
2008-09-28 - 2008-10-04,-55%
2008-10-05 - 2008-10-11,-54%
2008-10-12 - 2008-10-18,-55%
2008-10-19 - 2008-10-25,-55%
2008-10-26 - 2008-11-01,-55%
2008-11-02 - 2008-11-08,-55%
2008-11-09 - 2008-11-15,-54%
2008-11-16 - 2008-11-22,-56%
2008-11-23 - 2008-11-29,-56%
2008-11-30 - 2008-12-06,-56%
2008-12-07 - 2008-12-13,-57%
2008-12-14 - 2008-12-20,-55%
2008-12-21 - 2008-12-27,-51%
2008-12-28 - 2009-01-03,-53%
2009-01-04 - 2009-01-10,-56%
2009-01-11 - 2009-01-17,-56%
2009-01-18 - 2009-01-24,-57%
2009-01-25 - 2009-01-31,-56%
2009-02-01 - 2009-02-07,-56%
2009-02-08 - 2009-02-14,-58%
2009-02-15 - 2009-02-21,-56%
2009-02-22 - 2009-02-28,-57%
2009-03-01 - 2009-03-07,-59%
2009-03-08 - 2009-03-14,-57%
2009-03-15 - 2009-03-21,-59%
2009-03-22 - 2009-03-28,-58%
2009-03-29 - 2009-04-04,-59%
2009-04-05 - 2009-04-11,-59%
2009-04-12 - 2009-04-18,-58%
2009-04-19 - 2009-04-25,-58%
2009-04-26 - 2009-05-02,-59%
2009-05-03 - 2009-05-09,-59%
2009-05-10 - 2009-05-16,-59%
2009-05-17 - 2009-05-23,-59%
2009-05-24 - 2009-05-30,-61%
2009-05-31 - 2009-06-06,-60%
2009-06-07 - 2009-06-13,-59%
2009-06-14 - 2009-06-20,-60%
2009-06-21 - 2009-06-27,-63%
2009-06-28 - 2009-07-04,-62%
2009-07-05 - 2009-07-11,-63%
2009-07-12 - 2009-07-18,-63%
2009-07-19 - 2009-07-25,-61%
2009-07-26 - 2009-08-01,-60%
2009-08-02 - 2009-08-08,-61%
2009-08-09 - 2009-08-15,-60%
2009-08-16 - 2009-08-22,-59%
2009-08-23 - 2009-08-29,-60%
2009-08-30 - 2009-09-05,-60%
2009-09-06 - 2009-09-12,-61%
2009-09-13 - 2009-09-19,-60%
2009-09-20 - 2009-09-26,-59%
2009-09-27 - 2009-10-03,-61%
2009-10-04 - 2009-10-10,-60%
2009-10-11 - 2009-10-17,-59%
2009-10-18 - 2009-10-24,-58%
2009-10-25 - 2009-10-31,-59%
2009-11-01 - 2009-11-07,-57%
2009-11-08 - 2009-11-14,-58%
2009-11-15 - 2009-11-21,-59%
2009-11-22 - 2009-11-28,-60%
2009-11-29 - 2009-12-05,-59%
2009-12-06 - 2009-12-12,-61%
2009-12-13 - 2009-12-19,-61%
2009-12-20 - 2009-12-26,-57%
2009-12-27 - 2010-01-02,-56%
2010-01-03 - 2010-01-09,-60%
2010-01-10 - 2010-01-16,-60%
2010-01-17 - 2010-01-23,-58%
2010-01-24 - 2010-01-30,-59%
2010-01-31 - 2010-02-06,-60%
2010-02-07 - 2010-02-13,-62%
2010-02-14 - 2010-02-20,-61%
2010-02-21 - 2010-02-27,-61%
2010-02-28 - 2010-03-06,-61%
2010-03-07 - 2010-03-13,-61%
2010-03-14 - 2010-03-20,-61%
2010-03-21 - 2010-03-27,-63%
2010-03-28 - 2010-04-03,-62%
2010-04-04 - 2010-04-10,-63%
2010-04-11 - 2010-04-17,-65%
2010-04-18 - 2010-04-24,-64%
2010-04-25 - 2010-05-01,-64%
2010-05-02 - 2010-05-08,-64%
