Web Search Interest
Germany; 2004 - present

Interest over time
Week,Puzzles & Brainteasers
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+0%
2004-01-25 - 2004-01-31,+0%
2004-02-01 - 2004-02-07,+3%
2004-02-08 - 2004-02-14,+8%
2004-02-15 - 2004-02-21,+0%
2004-02-22 - 2004-02-28,+3%
2004-02-29 - 2004-03-06,+5%
2004-03-07 - 2004-03-13,+0%
2004-03-14 - 2004-03-20,-3%
2004-03-21 - 2004-03-27,-8%
2004-03-28 - 2004-04-03,+0%
2004-04-04 - 2004-04-10,-8%
2004-04-11 - 2004-04-17,-13%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,-5%
2004-05-02 - 2004-05-08,-10%
2004-05-09 - 2004-05-15,-10%
2004-05-16 - 2004-05-22,-3%
2004-05-23 - 2004-05-29,+0%
2004-05-30 - 2004-06-05,-8%
2004-06-06 - 2004-06-12,-8%
2004-06-13 - 2004-06-19,-8%
2004-06-20 - 2004-06-26,-5%
2004-06-27 - 2004-07-03,-5%
2004-07-04 - 2004-07-10,-10%
2004-07-11 - 2004-07-17,+0%
2004-07-18 - 2004-07-24,-10%
2004-07-25 - 2004-07-31,-8%
2004-08-01 - 2004-08-07,-21%
2004-08-08 - 2004-08-14,-15%
2004-08-15 - 2004-08-21,-15%
2004-08-22 - 2004-08-28,-18%
2004-08-29 - 2004-09-04,-10%
2004-09-05 - 2004-09-11,-13%
2004-09-12 - 2004-09-18,-10%
2004-09-19 - 2004-09-25,-15%
2004-09-26 - 2004-10-02,-13%
2004-10-03 - 2004-10-09,-13%
2004-10-10 - 2004-10-16,-15%
2004-10-17 - 2004-10-23,-10%
2004-10-24 - 2004-10-30,-3%
2004-10-31 - 2004-11-06,-5%
2004-11-07 - 2004-11-13,+10%
2004-11-14 - 2004-11-20,+0%
2004-11-21 - 2004-11-27,+5%
2004-11-28 - 2004-12-04,+8%
2004-12-05 - 2004-12-11,+10%
2004-12-12 - 2004-12-18,+10%
2004-12-19 - 2004-12-25,+15%
2004-12-26 - 2005-01-01,+3%
2005-01-02 - 2005-01-08,-8%
2005-01-09 - 2005-01-15,-13%
2005-01-16 - 2005-01-22,-8%
2005-01-23 - 2005-01-29,-8%
2005-01-30 - 2005-02-05,-5%
2005-02-06 - 2005-02-12,-15%
2005-02-13 - 2005-02-19,-5%
2005-02-20 - 2005-02-26,-3%
2005-02-27 - 2005-03-05,-3%
2005-03-06 - 2005-03-12,+8%
2005-03-13 - 2005-03-19,+3%
2005-03-20 - 2005-03-26,-5%
2005-03-27 - 2005-04-02,+0%
2005-04-03 - 2005-04-09,-10%
2005-04-10 - 2005-04-16,-8%
2005-04-17 - 2005-04-23,-8%
2005-04-24 - 2005-04-30,-5%
2005-05-01 - 2005-05-07,-8%
2005-05-08 - 2005-05-14,-8%
2005-05-15 - 2005-05-21,-8%
2005-05-22 - 2005-05-28,-15%
2005-05-29 - 2005-06-04,+0%
2005-06-05 - 2005-06-11,-8%
2005-06-12 - 2005-06-18,-3%
2005-06-19 - 2005-06-25,-3%
2005-06-26 - 2005-07-02,+0%
2005-07-03 - 2005-07-09,-5%
2005-07-10 - 2005-07-16,-5%
2005-07-17 - 2005-07-23,+3%
2005-07-24 - 2005-07-30,+0%
2005-07-31 - 2005-08-06,+10%
2005-08-07 - 2005-08-13,+8%
2005-08-14 - 2005-08-20,+8%
2005-08-21 - 2005-08-27,+10%
2005-08-28 - 2005-09-03,+5%
2005-09-04 - 2005-09-10,+21%
2005-09-11 - 2005-09-17,+26%
2005-09-18 - 2005-09-24,+18%
2005-09-25 - 2005-10-01,+36%
2005-10-02 - 2005-10-08,+31%
2005-10-09 - 2005-10-15,+38%
2005-10-16 - 2005-10-22,+41%
2005-10-23 - 2005-10-29,+46%
2005-10-30 - 2005-11-05,+46%
2005-11-06 - 2005-11-12,+54%
2005-11-13 - 2005-11-19,+46%
2005-11-20 - 2005-11-26,+54%
2005-11-27 - 2005-12-03,+56%
2005-12-04 - 2005-12-10,+59%
2005-12-11 - 2005-12-17,+67%
2005-12-18 - 2005-12-24,+85%
2005-12-25 - 2005-12-31,+95%
2006-01-01 - 2006-01-07,+77%
2006-01-08 - 2006-01-14,+82%
2006-01-15 - 2006-01-21,+82%
2006-01-22 - 2006-01-28,+90%
2006-01-29 - 2006-02-04,+79%
2006-02-05 - 2006-02-11,+97%
2006-02-12 - 2006-02-18,+95%
2006-02-19 - 2006-02-25,+110%
2006-02-26 - 2006-03-04,+123%
2006-03-05 - 2006-03-11,+121%
2006-03-12 - 2006-03-18,+126%
2006-03-19 - 2006-03-25,+123%
2006-03-26 - 2006-04-01,+128%
2006-04-02 - 2006-04-08,+156%
2006-04-09 - 2006-04-15,+138%
2006-04-16 - 2006-04-22,+128%
2006-04-23 - 2006-04-29,+110%
2006-04-30 - 2006-05-06,+97%
2006-05-07 - 2006-05-13,+85%
2006-05-14 - 2006-05-20,+95%
2006-05-21 - 2006-05-27,+110%
2006-05-28 - 2006-06-03,+105%
2006-06-04 - 2006-06-10,+97%
2006-06-11 - 2006-06-17,+92%
2006-06-18 - 2006-06-24,+95%
2006-06-25 - 2006-07-01,+92%
2006-07-02 - 2006-07-08,+92%
2006-07-09 - 2006-07-15,+97%
2006-07-16 - 2006-07-22,+118%
2006-07-23 - 2006-07-29,+123%
2006-07-30 - 2006-08-05,+115%
2006-08-06 - 2006-08-12,+103%
2006-08-13 - 2006-08-19,+105%
2006-08-20 - 2006-08-26,+100%
2006-08-27 - 2006-09-02,+103%
2006-09-03 - 2006-09-09,+90%
2006-09-10 - 2006-09-16,+90%
2006-09-17 - 2006-09-23,+115%
2006-09-24 - 2006-09-30,+108%
2006-10-01 - 2006-10-07,+138%
2006-10-08 - 2006-10-14,+133%
2006-10-15 - 2006-10-21,+123%
2006-10-22 - 2006-10-28,+121%
2006-10-29 - 2006-11-04,+121%
2006-11-05 - 2006-11-11,+115%
2006-11-12 - 2006-11-18,+123%
2006-11-19 - 2006-11-25,+113%
2006-11-26 - 2006-12-02,+108%
2006-12-03 - 2006-12-09,+103%
2006-12-10 - 2006-12-16,+105%
2006-12-17 - 2006-12-23,+121%
2006-12-24 - 2006-12-30,+121%
2006-12-31 - 2007-01-06,+103%
2007-01-07 - 2007-01-13,+87%
2007-01-14 - 2007-01-20,+82%
2007-01-21 - 2007-01-27,+87%
2007-01-28 - 2007-02-03,+85%
2007-02-04 - 2007-02-10,+79%
2007-02-11 - 2007-02-17,+79%
2007-02-18 - 2007-02-24,+85%
2007-02-25 - 2007-03-03,+82%
2007-03-04 - 2007-03-10,+72%
2007-03-11 - 2007-03-17,+77%
2007-03-18 - 2007-03-24,+82%
2007-03-25 - 2007-03-31,+69%
2007-04-01 - 2007-04-07,+77%
2007-04-08 - 2007-04-14,+69%
2007-04-15 - 2007-04-21,+62%
2007-04-22 - 2007-04-28,+64%
2007-04-29 - 2007-05-05,+67%
2007-05-06 - 2007-05-12,+67%
2007-05-13 - 2007-05-19,+67%
2007-05-20 - 2007-05-26,+64%
2007-05-27 - 2007-06-02,+62%
2007-06-03 - 2007-06-09,+56%
2007-06-10 - 2007-06-16,+59%
2007-06-17 - 2007-06-23,+59%
2007-06-24 - 2007-06-30,+62%
2007-07-01 - 2007-07-07,+67%
2007-07-08 - 2007-07-14,+69%
2007-07-15 - 2007-07-21,+62%
2007-07-22 - 2007-07-28,+54%
2007-07-29 - 2007-08-04,+49%
2007-08-05 - 2007-08-11,+46%
2007-08-12 - 2007-08-18,+38%
2007-08-19 - 2007-08-25,+56%
2007-08-26 - 2007-09-01,+46%
2007-09-02 - 2007-09-08,+33%
2007-09-09 - 2007-09-15,+41%
2007-09-16 - 2007-09-22,+41%
2007-09-23 - 2007-09-29,+44%
2007-09-30 - 2007-10-06,+38%
2007-10-07 - 2007-10-13,+38%
2007-10-14 - 2007-10-20,+38%
2007-10-21 - 2007-10-27,+49%
2007-10-28 - 2007-11-03,+59%
2007-11-04 - 2007-11-10,+54%
2007-11-11 - 2007-11-17,+56%
2007-11-18 - 2007-11-24,+64%
2007-11-25 - 2007-12-01,+67%
2007-12-02 - 2007-12-08,+67%
2007-12-09 - 2007-12-15,+69%
2007-12-16 - 2007-12-22,+74%
2007-12-23 - 2007-12-29,+82%
2007-12-30 - 2008-01-05,+67%
2008-01-06 - 2008-01-12,+46%
2008-01-13 - 2008-01-19,+46%
2008-01-20 - 2008-01-26,+51%
2008-01-27 - 2008-02-02,+49%
2008-02-03 - 2008-02-09,+49%
2008-02-10 - 2008-02-16,+49%
2008-02-17 - 2008-02-23,+51%
2008-02-24 - 2008-03-01,+51%
2008-03-02 - 2008-03-08,+49%
2008-03-09 - 2008-03-15,+49%
2008-03-16 - 2008-03-22,+51%
2008-03-23 - 2008-03-29,+56%
2008-03-30 - 2008-04-05,+41%
2008-04-06 - 2008-04-12,+49%
2008-04-13 - 2008-04-19,+46%
2008-04-20 - 2008-04-26,+41%
2008-04-27 - 2008-05-03,+38%
2008-05-04 - 2008-05-10,+36%
2008-05-11 - 2008-05-17,+33%
2008-05-18 - 2008-05-24,+36%
2008-05-25 - 2008-05-31,+33%
2008-06-01 - 2008-06-07,+33%
2008-06-08 - 2008-06-14,+33%
2008-06-15 - 2008-06-21,+36%
2008-06-22 - 2008-06-28,+31%
2008-06-29 - 2008-07-05,+36%
2008-07-06 - 2008-07-12,+41%
2008-07-13 - 2008-07-19,+41%
2008-07-20 - 2008-07-26,+41%
2008-07-27 - 2008-08-02,+38%
2008-08-03 - 2008-08-09,+33%
2008-08-10 - 2008-08-16,+31%
2008-08-17 - 2008-08-23,+33%
2008-08-24 - 2008-08-30,+33%
2008-08-31 - 2008-09-06,+28%
2008-09-07 - 2008-09-13,+31%
2008-09-14 - 2008-09-20,+31%
2008-09-21 - 2008-09-27,+36%
2008-09-28 - 2008-10-04,+36%
2008-10-05 - 2008-10-11,+33%
2008-10-12 - 2008-10-18,+31%
2008-10-19 - 2008-10-25,+41%
2008-10-26 - 2008-11-01,+41%
2008-11-02 - 2008-11-08,+41%
2008-11-09 - 2008-11-15,+51%
2008-11-16 - 2008-11-22,+46%
2008-11-23 - 2008-11-29,+49%
2008-11-30 - 2008-12-06,+51%
2008-12-07 - 2008-12-13,+56%
2008-12-14 - 2008-12-20,+62%
2008-12-21 - 2008-12-27,+74%
2008-12-28 - 2009-01-03,+59%
2009-01-04 - 2009-01-10,+44%
2009-01-11 - 2009-01-17,+41%
2009-01-18 - 2009-01-24,+44%
2009-01-25 - 2009-01-31,+38%
2009-02-01 - 2009-02-07,+36%
2009-02-08 - 2009-02-14,+38%
2009-02-15 - 2009-02-21,+36%
2009-02-22 - 2009-02-28,+31%
2009-03-01 - 2009-03-07,+31%
2009-03-08 - 2009-03-14,+33%
2009-03-15 - 2009-03-21,+33%
2009-03-22 - 2009-03-28,+36%
2009-03-29 - 2009-04-04,+36%
2009-04-05 - 2009-04-11,+36%
2009-04-12 - 2009-04-18,+31%
2009-04-19 - 2009-04-25,+31%
2009-04-26 - 2009-05-02,+31%
2009-05-03 - 2009-05-09,+28%
2009-05-10 - 2009-05-16,+33%
2009-05-17 - 2009-05-23,+33%
2009-05-24 - 2009-05-30,+33%
2009-05-31 - 2009-06-06,+31%
2009-06-07 - 2009-06-13,+31%
2009-06-14 - 2009-06-20,+33%
2009-06-21 - 2009-06-27,+36%
2009-06-28 - 2009-07-04,+31%
2009-07-05 - 2009-07-11,+31%
2009-07-12 - 2009-07-18,+36%
2009-07-19 - 2009-07-25,+38%
2009-07-26 - 2009-08-01,+36%
2009-08-02 - 2009-08-08,+31%
2009-08-09 - 2009-08-15,+38%
2009-08-16 - 2009-08-22,+36%
2009-08-23 - 2009-08-29,+33%
2009-08-30 - 2009-09-05,+31%
2009-09-06 - 2009-09-12,+33%
2009-09-13 - 2009-09-19,+33%
2009-09-20 - 2009-09-26,+26%
2009-09-27 - 2009-10-03,+21%
2009-10-04 - 2009-10-10,+28%
2009-10-11 - 2009-10-17,+31%
2009-10-18 - 2009-10-24,+23%
2009-10-25 - 2009-10-31,+26%
