Web Search Interest
Hong Kong; 2004 - present

Interest over time
Week,Events & Listings
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+0%
2004-01-18 - 2004-01-24,+42%
2004-01-25 - 2004-01-31,+8%
2004-02-01 - 2004-02-07,-8%
2004-02-08 - 2004-02-14,+27%
2004-02-15 - 2004-02-21,+12%
2004-02-22 - 2004-02-28,+8%
2004-02-29 - 2004-03-06,-12%
2004-03-07 - 2004-03-13,-12%
2004-03-14 - 2004-03-20,+0%
2004-03-21 - 2004-03-27,-8%
2004-03-28 - 2004-04-03,+23%
2004-04-04 - 2004-04-10,+35%
2004-04-11 - 2004-04-17,-8%
2004-04-18 - 2004-04-24,+0%
2004-04-25 - 2004-05-01,+4%
2004-05-02 - 2004-05-08,+8%
2004-05-09 - 2004-05-15,+15%
2004-05-16 - 2004-05-22,+35%
2004-05-23 - 2004-05-29,+62%
2004-05-30 - 2004-06-05,+46%
2004-06-06 - 2004-06-12,+35%
2004-06-13 - 2004-06-19,+31%
2004-06-20 - 2004-06-26,+38%
2004-06-27 - 2004-07-03,+50%
2004-07-04 - 2004-07-10,+54%
2004-07-11 - 2004-07-17,+46%
2004-07-18 - 2004-07-24,+31%
2004-07-25 - 2004-07-31,+38%
2004-08-01 - 2004-08-07,+23%
2004-08-08 - 2004-08-14,+35%
2004-08-15 - 2004-08-21,+31%
2004-08-22 - 2004-08-28,+15%
2004-08-29 - 2004-09-04,+23%
2004-09-05 - 2004-09-11,+8%
2004-09-12 - 2004-09-18,+15%
2004-09-19 - 2004-09-25,+4%
2004-09-26 - 2004-10-02,+46%
2004-10-03 - 2004-10-09,+23%
2004-10-10 - 2004-10-16,+12%
2004-10-17 - 2004-10-23,+4%
2004-10-24 - 2004-10-30,+4%
2004-10-31 - 2004-11-06,+12%
2004-11-07 - 2004-11-13,+19%
2004-11-14 - 2004-11-20,+4%
2004-11-21 - 2004-11-27,+0%
2004-11-28 - 2004-12-04,+12%
2004-12-05 - 2004-12-11,-4%
2004-12-12 - 2004-12-18,+19%
2004-12-19 - 2004-12-25,+69%
2004-12-26 - 2005-01-01,+46%
2005-01-02 - 2005-01-08,+27%
2005-01-09 - 2005-01-15,+23%
2005-01-16 - 2005-01-22,+19%
2005-01-23 - 2005-01-29,+19%
2005-01-30 - 2005-02-05,+35%
2005-02-06 - 2005-02-12,+88%
2005-02-13 - 2005-02-19,+50%
2005-02-20 - 2005-02-26,+4%
2005-02-27 - 2005-03-05,+15%
2005-03-06 - 2005-03-12,+15%
2005-03-13 - 2005-03-19,+12%
2005-03-20 - 2005-03-26,+54%
2005-03-27 - 2005-04-02,+35%
2005-04-03 - 2005-04-09,+12%
2005-04-10 - 2005-04-16,+12%
2005-04-17 - 2005-04-23,+0%
2005-04-24 - 2005-04-30,+4%
2005-05-01 - 2005-05-07,+0%
2005-05-08 - 2005-05-14,+8%
2005-05-15 - 2005-05-21,+46%
2005-05-22 - 2005-05-28,+31%
2005-05-29 - 2005-06-04,+31%
2005-06-05 - 2005-06-11,+35%
2005-06-12 - 2005-06-18,+31%
2005-06-19 - 2005-06-25,+50%
2005-06-26 - 2005-07-02,+65%
2005-07-03 - 2005-07-09,+54%
2005-07-10 - 2005-07-16,+42%
2005-07-17 - 2005-07-23,+35%
2005-07-24 - 2005-07-30,+54%
2005-07-31 - 2005-08-06,+54%
2005-08-07 - 2005-08-13,+46%
2005-08-14 - 2005-08-20,+46%
2005-08-21 - 2005-08-27,+35%
2005-08-28 - 2005-09-03,+35%
2005-09-04 - 2005-09-10,+19%
2005-09-11 - 2005-09-17,+23%
2005-09-18 - 2005-09-24,+46%
2005-09-25 - 2005-10-01,+58%
2005-10-02 - 2005-10-08,+38%
2005-10-09 - 2005-10-15,+42%
2005-10-16 - 2005-10-22,+27%
2005-10-23 - 2005-10-29,+4%
2005-10-30 - 2005-11-05,+27%
2005-11-06 - 2005-11-12,+23%
2005-11-13 - 2005-11-19,+38%
2005-11-20 - 2005-11-26,+38%
2005-11-27 - 2005-12-03,+38%
2005-12-04 - 2005-12-10,+31%
2005-12-11 - 2005-12-17,+58%
2005-12-18 - 2005-12-24,+115%
2005-12-25 - 2005-12-31,+135%
2006-01-01 - 2006-01-07,+62%
2006-01-08 - 2006-01-14,+58%
2006-01-15 - 2006-01-21,+54%
2006-01-22 - 2006-01-28,+81%
2006-01-29 - 2006-02-04,+88%
2006-02-05 - 2006-02-11,+58%
2006-02-12 - 2006-02-18,+42%
2006-02-19 - 2006-02-25,+62%
2006-02-26 - 2006-03-04,+50%
2006-03-05 - 2006-03-11,+42%
2006-03-12 - 2006-03-18,+31%
2006-03-19 - 2006-03-25,+27%
2006-03-26 - 2006-04-01,+31%
2006-04-02 - 2006-04-08,+35%
2006-04-09 - 2006-04-15,+65%
2006-04-16 - 2006-04-22,+27%
2006-04-23 - 2006-04-29,+23%
2006-04-30 - 2006-05-06,+54%
2006-05-07 - 2006-05-13,+46%
2006-05-14 - 2006-05-20,+73%
2006-05-21 - 2006-05-27,+65%
2006-05-28 - 2006-06-03,+46%
2006-06-04 - 2006-06-10,+46%
2006-06-11 - 2006-06-17,+27%
2006-06-18 - 2006-06-24,+31%
2006-06-25 - 2006-07-01,+38%
2006-07-02 - 2006-07-08,+42%
2006-07-09 - 2006-07-15,+50%
2006-07-16 - 2006-07-22,+54%
2006-07-23 - 2006-07-29,+50%
2006-07-30 - 2006-08-05,+73%
2006-08-06 - 2006-08-12,+62%
2006-08-13 - 2006-08-19,+46%
2006-08-20 - 2006-08-26,+42%
2006-08-27 - 2006-09-02,+35%
2006-09-03 - 2006-09-09,+35%
2006-09-10 - 2006-09-16,+35%
2006-09-17 - 2006-09-23,+35%
2006-09-24 - 2006-09-30,+42%
2006-10-01 - 2006-10-07,+54%
2006-10-08 - 2006-10-14,+27%
2006-10-15 - 2006-10-21,+15%
2006-10-22 - 2006-10-28,+35%
2006-10-29 - 2006-11-04,+15%
2006-11-05 - 2006-11-11,+15%
2006-11-12 - 2006-11-18,+8%
2006-11-19 - 2006-11-25,+19%
2006-11-26 - 2006-12-02,+8%
2006-12-03 - 2006-12-09,+23%
2006-12-10 - 2006-12-16,+35%
2006-12-17 - 2006-12-23,+62%
2006-12-24 - 2006-12-30,+81%
2006-12-31 - 2007-01-06,+62%
2007-01-07 - 2007-01-13,+35%
2007-01-14 - 2007-01-20,+46%
2007-01-21 - 2007-01-27,+27%
2007-01-28 - 2007-02-03,+23%
2007-02-04 - 2007-02-10,+23%
2007-02-11 - 2007-02-17,+42%
2007-02-18 - 2007-02-24,+88%
2007-02-25 - 2007-03-03,+27%
2007-03-04 - 2007-03-10,+31%
2007-03-11 - 2007-03-17,+31%
2007-03-18 - 2007-03-24,+35%
2007-03-25 - 2007-03-31,+23%
2007-04-01 - 2007-04-07,+65%
2007-04-08 - 2007-04-14,+38%
2007-04-15 - 2007-04-21,+19%
2007-04-22 - 2007-04-28,+19%
2007-04-29 - 2007-05-05,+65%
2007-05-06 - 2007-05-12,+27%
2007-05-13 - 2007-05-19,+27%
2007-05-20 - 2007-05-26,+62%
2007-05-27 - 2007-06-02,+31%
2007-06-03 - 2007-06-09,+27%
2007-06-10 - 2007-06-16,+46%
2007-06-17 - 2007-06-23,+62%
2007-06-24 - 2007-06-30,+73%
2007-07-01 - 2007-07-07,+119%
2007-07-08 - 2007-07-14,+119%
2007-07-15 - 2007-07-21,+81%
2007-07-22 - 2007-07-28,+92%
2007-07-29 - 2007-08-04,+108%
2007-08-05 - 2007-08-11,+158%
2007-08-12 - 2007-08-18,+142%
2007-08-19 - 2007-08-25,+96%
2007-08-26 - 2007-09-01,+65%
2007-09-02 - 2007-09-08,+62%
2007-09-09 - 2007-09-15,+46%
2007-09-16 - 2007-09-22,+35%
2007-09-23 - 2007-09-29,+92%
2007-09-30 - 2007-10-06,+88%
2007-10-07 - 2007-10-13,+69%
2007-10-14 - 2007-10-20,+65%
2007-10-21 - 2007-10-27,+54%
2007-10-28 - 2007-11-03,+38%
2007-11-04 - 2007-11-10,+42%
2007-11-11 - 2007-11-17,+35%
2007-11-18 - 2007-11-24,+27%
2007-11-25 - 2007-12-01,+38%
2007-12-02 - 2007-12-08,+31%
2007-12-09 - 2007-12-15,+46%
2007-12-16 - 2007-12-22,+69%
2007-12-23 - 2007-12-29,+123%
2007-12-30 - 2008-01-05,+77%
2008-01-06 - 2008-01-12,+54%
2008-01-13 - 2008-01-19,+54%
2008-01-20 - 2008-01-26,+50%
2008-01-27 - 2008-02-02,+50%
2008-02-03 - 2008-02-09,+115%
2008-02-10 - 2008-02-16,+81%
2008-02-17 - 2008-02-23,+54%
2008-02-24 - 2008-03-01,+54%
2008-03-02 - 2008-03-08,+38%
2008-03-09 - 2008-03-15,+31%
2008-03-16 - 2008-03-22,+54%
2008-03-23 - 2008-03-29,+42%
2008-03-30 - 2008-04-05,+35%
2008-04-06 - 2008-04-12,+27%
2008-04-13 - 2008-04-19,+23%
2008-04-20 - 2008-04-26,+19%
2008-04-27 - 2008-05-03,+42%
2008-05-04 - 2008-05-10,+31%
2008-05-11 - 2008-05-17,+38%
2008-05-18 - 2008-05-24,+46%
2008-05-25 - 2008-05-31,+42%
2008-06-01 - 2008-06-07,+46%
2008-06-08 - 2008-06-14,+65%
2008-06-15 - 2008-06-21,+58%
2008-06-22 - 2008-06-28,+69%
2008-06-29 - 2008-07-05,+92%
2008-07-06 - 2008-07-12,+92%
2008-07-13 - 2008-07-19,+127%
2008-07-20 - 2008-07-26,+127%
2008-07-27 - 2008-08-02,+115%
2008-08-03 - 2008-08-09,+108%
2008-08-10 - 2008-08-16,+85%
2008-08-17 - 2008-08-23,+77%
2008-08-24 - 2008-08-30,+54%
2008-08-31 - 2008-09-06,+42%
2008-09-07 - 2008-09-13,+27%
2008-09-14 - 2008-09-20,+31%
2008-09-21 - 2008-09-27,+31%
2008-09-28 - 2008-10-04,+50%
2008-10-05 - 2008-10-11,+35%
2008-10-12 - 2008-10-18,+27%
2008-10-19 - 2008-10-25,+38%
2008-10-26 - 2008-11-01,+46%
2008-11-02 - 2008-11-08,+62%
2008-11-09 - 2008-11-15,+42%
2008-11-16 - 2008-11-22,+35%
2008-11-23 - 2008-11-29,+31%
2008-11-30 - 2008-12-06,+27%
2008-12-07 - 2008-12-13,+38%
2008-12-14 - 2008-12-20,+54%
2008-12-21 - 2008-12-27,+131%
2008-12-28 - 2009-01-03,+115%
2009-01-04 - 2009-01-10,+58%
2009-01-11 - 2009-01-17,+58%
2009-01-18 - 2009-01-24,+88%
2009-01-25 - 2009-01-31,+200%
2009-02-01 - 2009-02-07,+65%
2009-02-08 - 2009-02-14,+62%
2009-02-15 - 2009-02-21,+42%
2009-02-22 - 2009-02-28,+62%
2009-03-01 - 2009-03-07,+46%
2009-03-08 - 2009-03-14,+50%
2009-03-15 - 2009-03-21,+46%
2009-03-22 - 2009-03-28,+42%
2009-03-29 - 2009-04-04,+65%
2009-04-05 - 2009-04-11,+73%
2009-04-12 - 2009-04-18,+38%
2009-04-19 - 2009-04-25,+35%
2009-04-26 - 2009-05-02,+54%
2009-05-03 - 2009-05-09,+31%
2009-05-10 - 2009-05-16,+38%
2009-05-17 - 2009-05-23,+58%
2009-05-24 - 2009-05-30,+69%
2009-05-31 - 2009-06-06,+35%
2009-06-07 - 2009-06-13,+46%
2009-06-14 - 2009-06-20,+54%
2009-06-21 - 2009-06-27,+112%
2009-06-28 - 2009-07-04,+123%
2009-07-05 - 2009-07-11,+88%
2009-07-12 - 2009-07-18,+104%
2009-07-19 - 2009-07-25,+85%
2009-07-26 - 2009-08-01,+85%
2009-08-02 - 2009-08-08,+88%
2009-08-09 - 2009-08-15,+88%
2009-08-16 - 2009-08-22,+77%
2009-08-23 - 2009-08-29,+62%
2009-08-30 - 2009-09-05,+42%
2009-09-06 - 2009-09-12,+35%
2009-09-13 - 2009-09-19,+38%
2009-09-20 - 2009-09-26,+46%
2009-09-27 - 2009-10-03,+96%
2009-10-04 - 2009-10-10,+54%
2009-10-11 - 2009-10-17,+50%
2009-10-18 - 2009-10-24,+62%
2009-10-25 - 2009-10-31,+58%
