Web Search Interest
United States; 2004 - present

Interest over time
Week,Scooters & Mopeds
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,+2%
2004-01-18 - 2004-01-24,-7%
2004-01-25 - 2004-01-31,-7%
2004-02-01 - 2004-02-07,-11%
2004-02-08 - 2004-02-14,-9%
2004-02-15 - 2004-02-21,-7%
2004-02-22 - 2004-02-28,-13%
2004-02-29 - 2004-03-06,+9%
2004-03-07 - 2004-03-13,+13%
2004-03-14 - 2004-03-20,+13%
2004-03-21 - 2004-03-27,+28%
2004-03-28 - 2004-04-03,+26%
2004-04-04 - 2004-04-10,+35%
2004-04-11 - 2004-04-17,+28%
2004-04-18 - 2004-04-24,+43%
2004-04-25 - 2004-05-01,+41%
2004-05-02 - 2004-05-08,+61%
2004-05-09 - 2004-05-15,+65%
2004-05-16 - 2004-05-22,+63%
2004-05-23 - 2004-05-29,+80%
2004-05-30 - 2004-06-05,+65%
2004-06-06 - 2004-06-12,+74%
2004-06-13 - 2004-06-19,+80%
2004-06-20 - 2004-06-26,+76%
2004-06-27 - 2004-07-03,+80%
2004-07-04 - 2004-07-10,+74%
2004-07-11 - 2004-07-17,+70%
2004-07-18 - 2004-07-24,+67%
2004-07-25 - 2004-07-31,+65%
2004-08-01 - 2004-08-07,+78%
2004-08-08 - 2004-08-14,+72%
2004-08-15 - 2004-08-21,+48%
2004-08-22 - 2004-08-28,+52%
2004-08-29 - 2004-09-04,+43%
2004-09-05 - 2004-09-11,+37%
2004-09-12 - 2004-09-18,+30%
2004-09-19 - 2004-09-25,+26%
2004-09-26 - 2004-10-02,+20%
2004-10-03 - 2004-10-09,+17%
2004-10-10 - 2004-10-16,+15%
2004-10-17 - 2004-10-23,+7%
2004-10-24 - 2004-10-30,+7%
2004-10-31 - 2004-11-06,-2%
2004-11-07 - 2004-11-13,+9%
2004-11-14 - 2004-11-20,+9%
2004-11-21 - 2004-11-27,+35%
2004-11-28 - 2004-12-04,+22%
2004-12-05 - 2004-12-11,+24%
2004-12-12 - 2004-12-18,+22%
2004-12-19 - 2004-12-25,+20%
2004-12-26 - 2005-01-01,+0%
2005-01-02 - 2005-01-08,-4%
2005-01-09 - 2005-01-15,-15%
2005-01-16 - 2005-01-22,-17%
2005-01-23 - 2005-01-29,-13%
2005-01-30 - 2005-02-05,-20%
2005-02-06 - 2005-02-12,-20%
2005-02-13 - 2005-02-19,-13%
2005-02-20 - 2005-02-26,-13%
2005-02-27 - 2005-03-05,-11%
2005-03-06 - 2005-03-12,-7%
2005-03-13 - 2005-03-19,-7%
2005-03-20 - 2005-03-26,-4%
2005-03-27 - 2005-04-02,+2%
2005-04-03 - 2005-04-09,+13%
2005-04-10 - 2005-04-16,+15%
2005-04-17 - 2005-04-23,+26%
2005-04-24 - 2005-04-30,+20%
2005-05-01 - 2005-05-07,+9%
2005-05-08 - 2005-05-14,+15%
2005-05-15 - 2005-05-21,+20%
2005-05-22 - 2005-05-28,+13%
2005-05-29 - 2005-06-04,+17%
2005-06-05 - 2005-06-11,+17%
2005-06-12 - 2005-06-18,+17%
2005-06-19 - 2005-06-25,+26%
2005-06-26 - 2005-07-02,+15%
2005-07-03 - 2005-07-09,+20%
