Web Search Interest
Spain; 2004 - present

Interest over time
Week,TV & Video
2004-01-04 - 2004-01-10,+0%
2004-01-11 - 2004-01-17,-3%
2004-01-18 - 2004-01-24,-10%
2004-01-25 - 2004-01-31,-3%
2004-02-01 - 2004-02-07,-6%
2004-02-08 - 2004-02-14,-10%
2004-02-15 - 2004-02-21,-10%
2004-02-22 - 2004-02-28,-6%
2004-02-29 - 2004-03-06,-10%
2004-03-07 - 2004-03-13,+19%
2004-03-14 - 2004-03-20,-10%
2004-03-21 - 2004-03-27,-6%
2004-03-28 - 2004-04-03,-16%
2004-04-04 - 2004-04-10,-13%
2004-04-11 - 2004-04-17,-3%
2004-04-18 - 2004-04-24,-10%
2004-04-25 - 2004-05-01,-13%
2004-05-02 - 2004-05-08,-16%
2004-05-09 - 2004-05-15,-19%
2004-05-16 - 2004-05-22,-10%
2004-05-23 - 2004-05-29,-19%
2004-05-30 - 2004-06-05,-19%
2004-06-06 - 2004-06-12,-19%
2004-06-13 - 2004-06-19,-19%
2004-06-20 - 2004-06-26,-19%
2004-06-27 - 2004-07-03,-3%
2004-07-04 - 2004-07-10,-16%
2004-07-11 - 2004-07-17,-16%
2004-07-18 - 2004-07-24,-13%
2004-07-25 - 2004-07-31,-16%
2004-08-01 - 2004-08-07,-16%
2004-08-08 - 2004-08-14,-13%
2004-08-15 - 2004-08-21,-10%
2004-08-22 - 2004-08-28,-6%
2004-08-29 - 2004-09-04,-10%
2004-09-05 - 2004-09-11,+10%
2004-09-12 - 2004-09-18,+3%
2004-09-19 - 2004-09-25,-6%
2004-09-26 - 2004-10-02,-10%
2004-10-03 - 2004-10-09,-16%
2004-10-10 - 2004-10-16,-6%
2004-10-17 - 2004-10-23,-16%
2004-10-24 - 2004-10-30,-13%
2004-10-31 - 2004-11-06,-13%
2004-11-07 - 2004-11-13,-13%
2004-11-14 - 2004-11-20,-10%
2004-11-21 - 2004-11-27,-10%
2004-11-28 - 2004-12-04,-13%
2004-12-05 - 2004-12-11,-6%
2004-12-12 - 2004-12-18,-13%
2004-12-19 - 2004-12-25,-10%
2004-12-26 - 2005-01-01,-6%
2005-01-02 - 2005-01-08,-6%
2005-01-09 - 2005-01-15,-6%
2005-01-16 - 2005-01-22,-13%
2005-01-23 - 2005-01-29,-10%
2005-01-30 - 2005-02-05,-6%
2005-02-06 - 2005-02-12,-13%
2005-02-13 - 2005-02-19,-13%
2005-02-20 - 2005-02-26,-6%
2005-02-27 - 2005-03-05,-3%
2005-03-06 - 2005-03-12,-10%
2005-03-13 - 2005-03-19,-6%
2005-03-20 - 2005-03-26,+0%
2005-03-27 - 2005-04-02,-3%
